기간,HS코드,열연_수입 중량,열연_수입 금액,철근_수입중량,철근_수입금액,철근 국내,열연 국내,,,,,,,,
2015,7208,7136530.1,3231380,601230.2,330225,648 ,506 ,,,,,,,,
2016,7208,7051174.6,2804418,649716.4,301823,587 ,571 ,,,,,,,,
2017,7208,5498387.5,2977614,558992.1,340469,652 ,681 ,,,,,,,,
2018,7208,4206418.1,2625646,334875.8,248659,762 ,912 ,,,,,,,,
2019,7208,4838094.2,2756354,361026.9,248613,728 ,661 ,,,,,,,,
2020,7208,3501879.5,1822419,260366.2,169282,606 ,656 ,,,,,,,,
2021,7208,3638321.2,3248465,401143,358164,999 ,1762 ,,,,,,,,
2022,7208,4632426.8,3877502,273761.1,253695,1133 ,867 ,,,,,,,,
2023,7208,5848031.9,3897045,354547.4,271772,1031 ,1080 ,,,,,,,,
2024,7208,5139650.1,3149858,360651.1,264378,978 ,941 ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
